"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2025-07-26 00:36:35","6.791","-73.175","147.93","3.3","MLr_3","69","1.2","62","2.025","3.028","4.53","Los Santos - Santander, Colombia","","","","manual"
"2025-07-26 06:16:43","6.786","-73.11","145.59","2.7","MLr_3","54","1.1","67","2.403","3.256","4.99","Los Santos - Santander, Colombia","","","","manual"
"2025-07-26 10:25:37","6.776","-73.121","144.41","2.5","MLr_3","42","1.0","67","2.585","3.561","5.32","Los Santos - Santander, Colombia","","","","manual"
"2025-07-26 13:23:43","6.805","-73.17","143.48","2.8","MLr_3","43","1.2","64","2.714","3.602","5.16","Los Santos - Santander, Colombia","","","","manual"
"2025-07-26 13:33:41","6.889","-73.327","126.05","2.6","MLr_vmm","65","0.4","52","0.636","0.636","1.10","Zapatoca - Santander, Colombia","","","","manual"
"2025-07-26 20:52:06","6.805","-73.132","148.16","2.7","MLr_3","41","1.2","67","2.683","4.148","5.42","Los Santos - Santander, Colombia","","","","manual"
"2025-07-27 10:20:45","6.771","-73.15","139.61","2.7","MLr_3","39","1.2","65","2.742","3.663","5.35","Los Santos - Santander, Colombia","","","","manual"
"2025-07-27 15:19:42","6.786","-73.142","145.59","3.0","MLr_3","59","1.3","66","2.272","3.555","4.98","Los Santos - Santander, Colombia","","","","manual"
"2025-07-28 01:01:23","6.81","-73.123","143.48","2.5","MLr_3","39","1.0","66","2.845","3.671","5.44","Los Santos - Santander, Colombia","","","","manual"
"2025-07-28 10:34:28","6.788","-73.13","146.52","3.0","MLr_3","59","1.3","65","2.211","3.241","4.71","Los Santos - Santander, Colombia","","","","manual"
"2025-07-28 14:52:01","6.795","-73.175","142.07","3.2","MLr_3","56","1.3","62","2.536","3.505","4.79","Los Santos - Santander, Colombia","","","","manual"
"2025-07-29 11:58:01","6.795","-73.164","148.16","3.5","MLr_3","66","1.2","63","2.119","3.216","4.57","Los Santos - Santander, Colombia","","","","manual"
"2025-07-29 20:04:29","6.769","-73.138","145.59","3.3","MLr_3","64","1.3","65","2.136","3.360","4.56","Los Santos - Santander, Colombia","","","","manual"
"2025-07-29 22:25:00","6.776","-73.147","140.9","3.1","MLr_3","50","1.3","64","2.650","3.575","5.05","Los Santos - Santander, Colombia","","","","manual"
"2025-07-30 01:09:30","6.809","-73.132","143.08","2.8","MLr_3","8","0.3","162","4.031","4.031","4.20","Los Santos - Santander, Colombia","","","","manual"
"2025-07-30 02:01:56","6.763","-73.117","144.31","2.8","MLr_3","11","0.2","172","1.768","1.768","1.80","Los Santos - Santander, Colombia","","","","manual"
